AvgSteps,AvgDistance,AvgTemperature,Humidty,AvgWindSpeed,Precipitation
4071,1.865245793,51.5,0,3.1,0
4059,1.72585341,54,10,4.2,0.54
6519.5,2.666209035,59,0,4.4,0
9131.5,3.961713906,59,14,4.6,0.57
5079.5,2.156922055,59.5,5,5.9,0.01
8509.25,3.665631089,58.5,0,3.1,0
6353.5,2.711337467,58.5,0,3.2,0
12264.5,5.352147919,57.5,0,3.7,0.01
4582.75,1.914295837,61,16,5,1.38
12324,5.487223206,59,0,3.6,0
7274.5,3.211182462,56.5,15,4.2,0.07
5739.75,2.374067759,60.5,24,3.3,0.06
6893.75,2.900925598,65.5,18,6.1,0.54
