Date,Avinash_Distance,Juhan_Distance,Daniel_Distance,Viet_Distance,Avg_Distance,Precipitation,,,,,,,,,,
2019-02-13,2.25,1.31,0.6,3.2,1.84,0.08,,,,,,,,,,
2019-02-14,3.90,6.9,1.8,5.2,4.45,0,,,,,,,,,,
2019-02-15,1.38,5.26,0.67,2.3,2.40,0,,,,,,,,,,
2019-02-16,2.87,0.54,4.7,3.9,3.00,0,,,,,,,,,,
2019-02-17,4.39,0.79,3.5,2.8,2.87,0.04,,,,,,,,,,
2019-02-18,0.90,0.89,0.04,0.02,0.46,0.09,,,,,,,,,,
2019-02-19,3.18,3.47,1.7,3.4,2.94,0,,,,,,,,,,
2019-02-20,0.38,0.35,2.9,2.6,1.56,0.57,,,,,,,,,,
2019-02-21,0.88,5.1,1.2,5.4,3.15,0.1,,,,,,,,,,
2019-02-22,1.03,1.21,1.5,3.1,1.71,0,,,,,,,,,,
2019-02-23,0.73,0.57,0.02,3,1.08,0.01,,,,,,,,,,
2019-02-24,3.98,0.19,2.4,2.7,2.32,0.58,,,,,,,,,,
2019-02-25,1.41,0.64,0.25,2.3,1.15,0,,,,,,,,,,
2019-02-26,0.45,7.5,1.3,4.5,3.44,0,,,,,,,,,,
2019-02-27,3.05,1.3,1.3,3.3,2.24,0,,,,,,,,,,
2019-02-28,1.91,4.9,1.1,5.1,3.25,0.03,,,,,,,,,,
2019-03-01,0.75,0.82,1.5,4.2,1.82,0.11,,,,,,,,,,
2019-03-02,1.25,1.4,0.7,3.2,1.64,0.53,,,,,,,,,,
2019-03-03,1.38,0.07,1.1,0.71,0.81,0.52,,,,,,,,,,
2019-03-04,0.65,0.34,0.36,0.86,0.55,0.29,,,,,,,,,,
2019-03-05,2.10,6.2,1.1,3.8,3.30,0,,,,,,,,,,
2019-03-06,2.47,0.87,0.43,5.2,2.24,0,,,,,,,,,,
2019-03-07,0.78,6.8,1.1,2.9,2.89,0,,,,,,,,,,
2019-03-08,1.25,1,0.08,2.8,1.28,0,,,,,,,,,,
2019-03-09,1.56,2.81,0.06,2.8,1.81,0,,,,,,,,,,
2019-03-10,3.14,0.05,0.5,0.01,0.92,0.54,,,,,,,,,,
2019-03-11,2.50,0.25,0.94,3.3,1.75,0,,,,,,,,,,
2019-03-12,1.51,8.2,1.6,2.7,3.50,0,,,,,,,,,,
2019-03-13,4.02,0.5,0.11,3.3,1.98,0,,,,,,,,,,
2019-03-14,4.14,6.3,1.6,5.5,4.38,0,,,,,,,,,,
2019-03-15,0.26,3.12,0.13,0.06,0.89,0.39,,,,,,,,,,
2019-03-16,2.77,1.12,0.84,3.1,1.96,0,,,,,,,,,,
2019-03-17,1.74,0.03,2.8,2.7,1.82,0,,,,,,,,,,
2019-03-18,0.55,0.46,1.1,5.2,1.83,0,,,,,,,,,,
2019-03-19,2.27,7.7,1,4,3.74,0,,,,,,,,,,
2019-03-20,1.89,1.01,0.48,2.7,1.52,0,,,,,,,,,,
2019-03-21,1.29,4.5,1.1,2.4,2.32,0.75,,,,,,,,,,
2019-03-22,3.65,0.09,1.4,3.7,2.21,0.68,,,,,,,,,,
2019-03-23,4.34,1.21,1.2,2.8,2.39,0,,,,,,,,,,
2019-03-24,3.80,0.46,2.3,1.8,2.09,0,,,,,,,,,,
2019-03-25,1.61,0.58,0.77,2.8,1.44,0,,,,,,,,,,
2019-03-26,3.53,0.66,0.99,3.2,2.10,0,,,,,,,,,,
2019-03-27,4.19,0.36,0.79,3.3,2.16,0,,,,,,,,,,
2019-03-28,1.67,6.6,1.2,5,3.62,0,,,,,,,,,,
2019-03-29,0.79,0.65,0.32,0,0.44,0,,,,,,,,,,
2019-03-30,1.54,1.91,1.3,3.5,2.06,0,,,,,,,,,,
2019-03-31,3.34,0.46,1.5,4.4,2.43,0.06,,,,,,,,,,
2019-04-01,1.78,0.37,0.32,4.4,1.72,0,,,,,,,,,,
2019-04-02,4.09,0.34,1.3,5.5,2.81,0,,,,,,,,,,
2019-04-03,1.78,1.29,0.39,3.4,1.71,0,,,,,,,,,,
2019-04-04,2.72,5.4,1.1,2.9,3.03,0,,,,,,,,,,
